,,Yersiniabactin,Colibactin,Aerobactin,Salmochelin,rmpA,rmpA2,AGly,Col,Fcyn,Flq,Gly,MLS,Phe,Rif,Sul,Tet,Tgc,Tmt,Bla,Bla_Carb,Bla_ESBL,Bla_ESBL_inhR,Bla_broad,Bla_broad_inhR,omp,
2019,ST11,0.879828326,0.056866953,0.166309013,0.021459227,0.095493562,0.160944206,0.966738197,0.074034335,0.183476395,0.997854077,0,0.410944206,0.575107296,0.145922747,0.561158798,0.320815451,0,0.651287554,0.86695279,0.805793991,0.82832618,0,0.785407725,0.004291845,,ST11
2020,ST11,0.879828326,0.056866953,0.16416309,0.021459227,0.096566524,0.158798283,0.978540773,0.075107296,0.183476395,0.997854077,0.075107296,0.410944206,0.576180258,0.145922747,0.566523605,0.320815451,0,0.652360515,0.861587983,0.809012876,0.83583691,,0.790772532,0.001072961,0.71888412,ST11
2019,ST13,0.55,0.35,0,0,0,0,0.625,0,0,0.45,0,0.125,0.275,0,0.6,0.45,0,0.55,0.55,0.375,0.875,0.05,0.1,0,,ST13
2020,ST13,0.55,0.35,0,0,0,0,0.65,0,0,0.45,0.05,0.125,0.275,0,0.6,0.45,0,0.55,0.525,0.375,0.425,,0.975,0,0.175,ST13
2019,ST14,0.661016949,0.04519774,0.016949153,0.011299435,0.016949153,0.011299435,0.853107345,0.073446328,0,0.683615819,0,0.395480226,0.536723164,0.124293785,0.751412429,0.406779661,0,0.757062147,0.84180791,0.406779661,0.610169492,0,0.18079096,0.011299435,,ST14
2020,ST14,0.655367232,0.039548023,0.005649718,0.005649718,0.011299435,0.011299435,0.870056497,0.073446328,0,0.683615819,0.237288136,0.395480226,0.553672316,0.124293785,0.751412429,0.406779661,0,0.757062147,0.824858757,0.406779661,0.627118644,,0.214689266,0,0.401129944,ST14
2019,ST15,0.547325103,0,0.115226337,0,0,0.080246914,0.950617284,0.04526749,0.002057613,0.981481481,0,0.436213992,0.66872428,0.174897119,0.87654321,0.598765432,0,0.843621399,0.989711934,0.479423868,0.864197531,0,0.008230453,0.012345679,,ST15
2020,ST15,0.547325103,0,0.113168724,0,0,0.0781893,0.96090535,0.053497942,0.002057613,0.981481481,0.164609053,0.436213992,0.683127572,0.174897119,0.87654321,0.598765432,0,0.843621399,0.985596708,0.483539095,0.872427984,,0.014403292,0,0.362139918,ST15
2019,ST16,0.76284585,0,0,0,0,0,0.940711462,0.067193676,0,0.988142292,0,0.292490119,0.252964427,0.110671937,0.877470356,0.837944664,0,0.889328063,0.849802372,0.794466403,0.944664032,0,0.007905138,0.964426877,,ST16
2020,ST16,0.76284585,0,0,0,0,0,0.956521739,0.067193676,0,0.988142292,0.596837945,0.292490119,0.256916996,0.110671937,0.877470356,0.837944664,0,0.889328063,0.841897233,0.794466403,0.944664032,,0.976284585,0,0.758893281,ST16
2019,ST17,0.430555556,0.006944444,0,0.006944444,0.006944444,0,0.659722222,0.0625,0,0.375,0,0.138888889,0.423611111,0.034722222,0.631944444,0.5625,0,0.5625,0.597222222,0.159722222,0.479166667,0,0.847222222,0.027777778,,ST17
2020,ST17,0.430555556,0.006944444,0,0.006944444,0.006944444,0,0.659722222,0.0625,0,0.375,0.020833333,0.138888889,0.423611111,0.034722222,0.631944444,0.5625,0,0.5625,0.590277778,0.166666667,0.493055556,,0.875,0,0.104166667,ST17
2019,ST20,0.157894737,0,0,0,0,0,0.355263158,0.013157895,0,0.289473684,0,0,0.131578947,0,0.263157895,0.184210526,0,0.197368421,0.842105263,0.092105263,0.263157895,0,0.013157895,0.157894737,,ST20
2020,ST20,0.157894737,0,0,0,0,0,0.355263158,0.013157895,0,0.289473684,0,0,0.131578947,0,0.263157895,0.184210526,0,0.197368421,0.842105263,0.092105263,0.263157895,,0.171052632,0,0.039473684,ST20
2019,ST23,0.909574468,0.792553191,0.936170213,0.867021277,0.829787234,0.893617021,0.14893617,0.021276596,0.010638298,0.132978723,0,0.063829787,0.074468085,0.021276596,0.14893617,0.10106383,0,0.122340426,0.218085106,0.138297872,0.127659574,0,0.936170213,0,,ST23
2020,ST23,0.909574468,0.808510638,0.930851064,0.861702128,0.835106383,0.824468085,0.164893617,0.021276596,0.015957447,0.132978723,0.010638298,0.063829787,0.10106383,0.021276596,0.14893617,0.10106383,0,0.122340426,0.218085106,0.138297872,0.132978723,,0.946808511,0,0.021276596,ST23
2019,ST25,0.50877193,0,0.280701754,0.157894737,0.157894737,0.087719298,0.719298246,0.01754386,0,0.350877193,0,0.175438596,0.456140351,0.122807018,0.684210526,0.631578947,0,0.649122807,0.596491228,0.192982456,0.298245614,0,0.859649123,0,,ST25
2020,ST25,0.50877193,0,0.280701754,0.157894737,0.157894737,0.070175439,0.719298246,0.035087719,0,0.368421053,0.140350877,0.175438596,0.456140351,0.122807018,0.684210526,0.614035088,0,0.649122807,0.578947368,0.192982456,0.368421053,,0.859649123,0,0.070175439,ST25
2019,ST29,0.5,0.010869565,0.054347826,0.076086957,0.054347826,0.043478261,0.543478261,0.043478261,0,0.565217391,0,0.043478261,0.52173913,0.043478261,0.597826087,0.5,0,0.510869565,0.97826087,0.032608696,0.510869565,0,0.02173913,0.010869565,,ST29
2020,ST29,0.5,0.010869565,0.043478261,0.065217391,0.054347826,0.043478261,0.565217391,0.043478261,0,0.565217391,0,0.043478261,0.532608696,0.043478261,0.608695652,0.5,0,0.510869565,0.967391304,0.032608696,0.532608696,,0.02173913,0,0.097826087,ST29
2019,ST34,0,0,0,0,0,0,0.161290323,0,0,0.193548387,0,0.096774194,0.112903226,0.048387097,0.629032258,0.564516129,0,0.112903226,0.612903226,0.14516129,0.629032258,0,0.016129032,0.951612903,,ST34
2020,ST34,0,0,0,0,0,0,0.161290323,0,0,0.193548387,0.016129032,0.096774194,0.112903226,0.048387097,0.629032258,0.564516129,0,0.112903226,0.129032258,0.64516129,0.629032258,,0,0.951612903,0.225806452,ST34
