"Asia_western" "Europe_eastern" "Europe_northern" "Europe_southern" "Europe_western"
"O1/O2v1" 0.00442477876106195 0.00383141762452107 0.00909090909090909 0.00377833753148615 0.00442477876106195
"O1/O2v2" 0.00442477876106195 0 0.00909090909090909 0.00377833753148615 0
"O12" 0 0 0 0 0.00442477876106195
"O1v1" 0.300884955752212 0.402298850574713 0.272727272727273 0.255667506297229 0.225663716814159
"O1v2" 0.176991150442478 0.0344827586206897 0.163636363636364 0.0680100755667506 0.0973451327433628
"O2v1" 0.0575221238938053 0.122605363984674 0.0636363636363636 0.109571788413098 0.0929203539823009
"O2v2" 0.234513274336283 0.237547892720307 0.181818181818182 0.289672544080605 0.230088495575221
"O3/O3a" 0.0265486725663717 0.00766283524904215 0.00909090909090909 0.00881612090680101 0.0132743362831858
"O3b" 0.0619469026548673 0.0498084291187739 0.0909090909090909 0.0931989924433249 0.0929203539823009
"O4" 0.0619469026548673 0.0996168582375479 0.0818181818181818 0.132241813602015 0.185840707964602
"O5" 0.0265486725663717 0.0191570881226054 0.0636363636363636 0.0188916876574307 0.0353982300884956
"OL101" 0.0221238938053097 0.00766283524904215 0.0454545454545455 0.00881612090680101 0.0176991150442478
"OL103" 0.00442477876106195 0 0 0 0
"OL104" 0.00442477876106195 0 0 0 0
"unknown" 0.0132743362831858 0.0153256704980843 0.00909090909090909 0.00755667506297229 0
