O_type,no_O_type,Asia_western,cf_asia_w,Europe_eastern,cf_E_Europe,Europe_northern,cf_N_Europe,Europe_southern,cf_S_Europe,Europe_western,cf_W_Europe
O2,1,0.292035398,0.292035398,0.360153257,0.360153257,0.245454545,0.245454545,0.399244332,0.399244332,0.32300885,0.32300885
O1,2,0.477876106,0.769911504,0.436781609,0.796934866,0.436363636,0.681818182,0.323677582,0.722921914,0.32300885,0.646017699
O4,3,0.061946903,0.831858407,0.099616858,0.896551724,0.081818182,0.763636364,0.132241814,0.855163728,0.185840708,0.831858407
O3b,4,0.061946903,0.89380531,0.049808429,0.946360153,0.090909091,0.854545455,0.093198992,0.94836272,0.092920354,0.924778761
O5,5,0.026548673,0.920353982,0.019157088,0.965517241,0.063636364,0.918181818,0.018891688,0.967254408,0.03539823,0.960176991
OL101,6,0.022123894,0.942477876,0.007662835,0.973180077,0.045454545,0.963636364,0.008816121,0.976070529,0.017699115,0.977876106
O3/O3a,7,0.026548673,0.969026549,0.007662835,0.980842912,0.009090909,0.972727273,0.008816121,0.98488665,0.013274336,0.991150442
O12,8,0,0.969026549,0,0.980842912,0,0.972727273,0,0.98488665,0.004424779,0.995575221
OL103,9,0.004424779,0.973451327,0,0.980842912,0,0.972727273,0,0.98488665,0,0.995575221
OL104,10,0.004424779,0.977876106,0,0.980842912,0,0.972727273,0,0.98488665,0,0.995575221
