strain,Region,Country,Year,Source,Sample type
GCF_900509465.1,Europe_western,Germany,2014,human,unknown
GCF_900512555.1,Europe_western,Germany,2014,human,unknown
GCF_900510475.1,Europe_western,France,2014,human,unknown
GCF_900511715.1,Europe_western,France,2014,human,unknown
GCF_900510585.1,Europe_western,France,2014,human,unknown
GCF_900510945.1,Europe_western,France,2014,human,unknown
GCF_900511135.1,Europe_western,France,2014,human,unknown
GCF_900511265.1,Europe_western,France,2013,human,unknown
GCF_900502435.1,Europe_southern,Greece,2014,human,unknown
GCF_900507215.1,Europe_northern,Ireland,2013,human,unknown
GCF_900513485.1,Asia_western,Israel,2013,human,unknown
GCF_900513665.1,Asia_western,Israel,2014,human,unknown
GCF_900513095.1,Europe_southern,Italy,2013,human,unknown
GCF_900513225.1,Europe_southern,Italy,2013,human,unknown
GCF_900514765.1,Europe_southern,Italy,2013,human,unknown
GCF_900515085.1,Europe_southern,Italy,2014,human,unknown
GCF_902156315.1,Europe_southern,Italy,2014,human,unknown
GCF_900515875.1,Europe_southern,Italy,2013,human,unknown
GCF_900517785.1,Europe_western,Luxembourg,2013,human,unknown
GCF_900517795.1,Europe_western,Luxembourg,2013,human,unknown
GCF_900503635.1,Europe_western,Luxembourg,2014,human,unknown
GCF_900503655.1,Europe_western,Luxembourg,2014,human,unknown
GCF_900503585.1,Europe_western,Luxembourg,2014,human,unknown
GCF_902156305.1,Europe_western,Luxembourg,2014,human,unknown
GCF_900503595.1,Europe_western,Luxembourg,2014,human,unknown
GCF_900503665.1,Europe_western,Luxembourg,2014,human,unknown
GCF_900503685.1,Europe_western,Luxembourg,2014,human,unknown
GCF_900502945.1,Europe_western,Luxembourg,2014,human,unknown
GCF_900503715.1,Europe_western,Luxembourg,2014,human,unknown
GCF_900503705.1,Europe_western,Luxembourg,2014,human,unknown
GCF_900503725.1,Europe_western,Luxembourg,2014,human,unknown
GCF_900503695.1,Europe_western,Luxembourg,2014,human,unknown
GCF_902156215.1,Europe_western,Luxembourg,2014,human,unknown
GCF_900503735.1,Europe_western,Luxembourg,2014,human,unknown
GCF_900503755.1,Europe_western,Luxembourg,2014,human,unknown
GCF_900502195.1,Europe_southern,Portugal,2014,human,unknown
GCF_900502205.1,Europe_southern,Portugal,2014,human,unknown
GCF_900502235.1,Europe_southern,Portugal,2014,human,unknown
GCF_900502215.1,Europe_southern,Portugal,2014,human,unknown
GCF_900511275.1,Europe_eastern,Slovakia,2014,human,unknown
GCF_900512255.1,Europe_western,Germany,2014,human,abdominal
GCF_900513125.1,Europe_southern,Italy,2013,human,abdominal
GCF_900515395.1,Europe_southern,Italy,2013,human,abdominal
GCF_900515735.1,Europe_southern,Italy,2014,human,abdominal
GCF_900509645.1,Europe_southern,Portugal,2014,human,abdominal
GCF_900509995.1,Europe_western,Austria,2013,human,abscess_pus_fluid
GCF_900506575.1,Europe_western,Belgium,2014,human,abscess_pus_fluid
GCF_900506715.1,Europe_western,Belgium,2014,human,abscess_pus_fluid
GCF_900506735.1,Europe_western,Belgium,2014,human,abscess_pus_fluid
GCF_900506815.1,Europe_western,Belgium,2013,human,abscess_pus_fluid
GCF_900506845.1,Europe_western,Belgium,2013,human,abscess_pus_fluid
GCF_900509865.1,Europe_western,Belgium,2014,human,abscess_pus_fluid
GCF_900507725.1,Europe_western,Belgium,2014,human,abscess_pus_fluid
GCF_900502585.1,Europe_northern,Denmark,2014,human,abscess_pus_fluid
GCF_900509335.1,Europe_northern,Denmark,2014,human,abscess_pus_fluid
GCF_900516255.1,Europe_southern,Spain,2013,human,abscess_pus_fluid
GCF_900516345.1,Europe_southern,Spain,2013,human,abscess_pus_fluid
GCF_900516475.1,Europe_southern,Spain,2013,human,abscess_pus_fluid
GCF_900516675.1,Europe_southern,Spain,2014,human,abscess_pus_fluid
GCF_900500955.1,Europe_southern,Spain,2014,human,abscess_pus_fluid
GCF_900509625.1,Europe_southern,Spain,2014,human,abscess_pus_fluid
GCF_900517565.1,Europe_southern,Spain,2014,human,abscess_pus_fluid
GCF_900517645.1,Europe_southern,Spain,2014,human,abscess_pus_fluid
GCF_900501375.1,Europe_southern,Greece,2013,human,abscess_pus_fluid
GCF_900500795.1,Europe_southern,Greece,2013,human,abscess_pus_fluid
GCF_900501315.1,Europe_southern,Greece,2013,human,abscess_pus_fluid
GCF_900502505.1,Europe_southern,Greece,2014,human,abscess_pus_fluid
GCF_900501415.1,Europe_southern,Greece,2014,human,abscess_pus_fluid
GCF_900501535.1,Europe_southern,Greece,2014,human,abscess_pus_fluid
GCF_900506085.1,Europe_southern,Croatia,2013,human,abscess_pus_fluid
GCF_900505005.1,Europe_southern,Croatia,2013,human,abscess_pus_fluid
GCF_900516785.1,Europe_eastern,Hungary,2013,human,abscess_pus_fluid
