"ST" "mean_vir" "mean_res" "total"
"1" "0" 0.777777777777778 0.333333333333333 9
"2" "ST1" 0.117647058823529 0.882352941176471 17
"3" "ST10-1LV" 0 0 1
"4" "ST1001-1LV" 1 0 1
"5" "ST1007-2LV" 0 0 1
"6" "ST101" 0.914285714285714 1.35714285714286 70
"7" "ST101-1LV" 0.5 1 2
"8" "ST1010" 0 0 2
"9" "ST1013" 1 0 1
"10" "ST1014-1LV" 0.4 0.2 5
"11" "ST1015" 0 1 1
"12" "ST1015-1LV" 0 0 1
"13" "ST1016-2LV" 0 0 1
"14" "ST1017" 0 0 1
"15" "ST1026" 0 0 1
"16" "ST1026-1LV" 1 0 1
"17" "ST103-1LV" 0 0 1
"18" "ST103-2LV" 1 0 1
"19" "ST1031" 0 1.33333333333333 6
"20" "ST1032-2LV" 0 0 1
"21" "ST1035" 0 0.666666666666667 3
"22" "ST1037" 0 0 1
"23" "ST104-1LV" 1 2 1
"24" "ST104-2LV" 0 1 1
"25" "ST1040" 0 0.5 2
"26" "ST1044-3LV" 0 0 2
"27" "ST1049" 4 0 2
"28" "ST105" 0.545454545454545 0.272727272727273 11
"29" "ST105-2LV" 0 0 1
"30" "ST1051" 0 0 1
"31" "ST1065" 0 0 1
"32" "ST107" 0 0.714285714285714 7
"33" "ST1079-1LV" 0 0 1
"34" "ST108" 0 1 1
"35" "ST108-2LV" 1 0.333333333333333 3
"36" "ST1082" 0 2 1
"37" "ST1084" 0 2 1
"38" "ST11" 1.42460317460317 1.8015873015873 252
"39" "ST11-1LV" 0.75 1.33333333333333 12
"40" "ST11-2LV" 0.333333333333333 0.333333333333333 3
"41" "ST11-3LV" 1 1 1
"42" "ST110" 0 0 1
"43" "ST1109" 0 0.25 4
"44" "ST111" 0.44 0.16 25
"45" "ST111-1LV" 0.666666666666667 0.333333333333333 3
"46" "ST1112-1LV" 0 0 1
"47" "ST1115-2LV" 0 1 2
"48" "ST1117" 1 0 1
"49" "ST1118" 0 0 1
"50" "ST1118-2LV" 0 2 2
"51" "ST1123" 0 0 1
"52" "ST1123-1LV" 0 0 1
"53" "ST1125" 0 1 1
"54" "ST113" 0 1 2
"55" "ST1138" 0 0 1
