strain,Sample name,Meropenem MIC (centralised re-testing),ompK35 functionality,ompK36 functionality,Colistin resistance
GCF_900508445.1,EuSCAPE_CZ016,4,Functional,Functional,Sensitive
GCF_902156405.1,EuSCAPE_ES085,4,Functional,Functional,Sensitive
GCF_900504715.1,EuSCAPE_UK011,4,Functional,Functional,Sensitive
GCF_900513255.1,EuSCAPE_IT068,4,Functional,Functional,Sensitive
GCF_900513935.1,EuSCAPE_ME010,4,Functional,Functional,Unknown
GCF_900513975.1,EuSCAPE_ME013,4,Functional,Functional,Unknown
GCF_900509095.1,EuSCAPE_TR267,4,Functional,Functional,Unknown
GCF_900511775.1,EuSCAPE_FR070,4,Functional,Functional,Sensitive
GCF_900516685.1,EuSCAPE_ES104,4,Functional,Functional,Sensitive
GCF_900504805.1,EuSCAPE_UK026,4,Functional,Functional,Sensitive
GCF_900507605.1,EuSCAPE_TR007,4,Functional,Functional,Sensitive
GCF_900507905.1,EuSCAPE_TR054,4,Functional,Functional,Sensitive
GCF_900507985.1,EuSCAPE_TR062,4,Functional,Functional,Sensitive
GCF_900509025.1,EuSCAPE_TR244,4,Functional,Functional,Sensitive
GCF_902156045.1,EuSCAPE_BE078,4,Functional,Functional,Unknown
GCF_900506955.1,EuSCAPE_BE081,4,Functional,Functional,Unknown
GCF_900507805.1,EuSCAPE_TR040,4,Functional,Functional,Unknown
GCF_900508095.1,EuSCAPE_TR088,4,Functional,Functional,Unknown
GCF_900507585.1,EuSCAPE_TR163,4,Functional,Functional,Unknown
GCF_900501685.1,EuSCAPE_ES107,4,Functional,Functional,Resistant
GCF_900515705.1,EuSCAPE_IT282,4,Functional,Functional,Sensitive
GCF_900517405.1,EuSCAPE_ES229,4,Functional,Functional,Sensitive
GCF_902156015.1,EuSCAPE_GR073,4,Functional,Functional,Unknown
GCF_900502315.1,EuSCAPE_GR127,4,Functional,Functional,Unknown
GCF_900504725.1,EuSCAPE_RO001,Not tested,Functional,Functional,Resistant
GCF_900510495.1,EuSCAPE_FR038,Not tested,Functional,Functional,Sensitive
GCF_900511035.1,EuSCAPE_CZ018,Not tested,Functional,Functional,Sensitive
GCF_900511735.1,EuSCAPE_FR068,Not tested,Functional,Functional,Sensitive
GCF_900512305.1,EuSCAPE_DE003,Not tested,Functional,Functional,Sensitive
GCF_900512895.1,EuSCAPE_IT029,Not tested,Functional,Functional,Sensitive
GCF_900511955.1,EuSCAPE_MT012,Not tested,Functional,Functional,Unknown
GCF_900501635.1,EuSCAPE_DK004,Not tested,Functional,Functional,Unknown
GCF_900501695.1,EuSCAPE_PT038,Not tested,Functional,Functional,Unknown
GCF_900501775.1,EuSCAPE_PT041,Not tested,Functional,Functional,Unknown
GCF_900501765.1,EuSCAPE_PT044,Not tested,Functional,Functional,Unknown
GCF_900502155.1,EuSCAPE_PT045,Not tested,Functional,Functional,Unknown
GCF_900501825.1,EuSCAPE_PT046,Not tested,Functional,Functional,Unknown
GCF_900501785.1,EuSCAPE_PT049,Not tested,Functional,Functional,Unknown
GCF_900501835.1,EuSCAPE_PT052,Not tested,Functional,Functional,Unknown
GCF_900501915.1,EuSCAPE_PT059,Not tested,Functional,Functional,Unknown
GCF_900509675.1,EuSCAPE_PT061,Not tested,Functional,Functional,Unknown
GCF_900501975.1,EuSCAPE_PT065,Not tested,Functional,Functional,Unknown
GCF_900501965.1,EuSCAPE_PT066,Not tested,Functional,Functional,Unknown
GCF_900501995.1,EuSCAPE_PT069,Not tested,Functional,Functional,Unknown
GCF_900502005.1,EuSCAPE_PT070,Not tested,Functional,Functional,Unknown
GCF_900502015.1,EuSCAPE_PT071,Not tested,Functional,Functional,Unknown
GCF_900502035.1,EuSCAPE_PT074,Not tested,Functional,Functional,Unknown
GCF_900509665.1,EuSCAPE_PT077,Not tested,Functional,Functional,Unknown
GCF_900509645.1,EuSCAPE_PT079,Not tested,Functional,Functional,Unknown
GCF_900502095.1,EuSCAPE_PT082,Not tested,Functional,Functional,Unknown
GCF_900502055.1,EuSCAPE_PT083,Not tested,Functional,Functional,Unknown
GCF_900502085.1,EuSCAPE_PT084,Not tested,Functional,Functional,Unknown
GCF_900502115.1,EuSCAPE_PT085,Not tested,Functional,Functional,Unknown
GCF_900502105.1,EuSCAPE_PT087,Not tested,Functional,Functional,Unknown
GCF_900502135.1,EuSCAPE_PT088,Not tested,Functional,Functional,Unknown
GCF_900502145.1,EuSCAPE_PT089,Not tested,Functional,Functional,Unknown
GCF_900502125.1,EuSCAPE_PT090,Not tested,Functional,Functional,Unknown
GCF_900502205.1,EuSCAPE_PT098,Not tested,Functional,Functional,Unknown
GCF_900502235.1,EuSCAPE_PT099,Not tested,Functional,Functional,Unknown
GCF_900502215.1,EuSCAPE_PT100,Not tested,Functional,Functional,Unknown
GCF_900502545.1,EuSCAPE_DK002,Not tested,Functional,Functional,Unknown
